	CHR	START	END	X0	X1	MeanDecreaseAccuracy	MeanDecreaseGini	Symbol	V1	V2	V3	V4	V5	V6	V7	GWAS.match.newimp.Symbol..GWAS...1.....
cg19730691	chr1	119526287	119526588	0.0042979374472998	0.00037267707108727	0.000678716821603748	1.3253241421626	TBX15	chr1	119526437	119526438	cg19730691	TBX15	N_Shore	I	TBX15
cg02362103	chr1	119532623	119532924	0.00325601006680303	7.58078246980721e-05	0.000334671489765659	0.545652101335008	TBX15	chr1	119532773	119532774	cg02362103	TBX15	S_Shore	I	TBX15
cg14565725	chr1	119531894	119532195	0.00141689479125269	4.32237737592683e-05	0.000161268801706501	0.53224955737522	TBX15	chr1	119532044	119532045	cg14565725	TBX15	Island	I	TBX15
cg24884142	chr1	119531906	119532207	0.00184658985761238	2.1334159982198e-06	0.000151637733599115	0.391572577783577	TBX15	chr1	119532056	119532057	cg24884142	TBX15	Island	I	TBX15
cg21647227	chr1	119526961	119527262	0.00207682245351929	2.12158888994403e-05	0.000190201700949366	0.318053886826186	TBX15	chr1	119527111	119527112	cg21647227	TBX15	Island	II	TBX15
cg10703826	chr1	119531966	119532267	0.00104152225748392	5.09967006318034e-06	8.3369928487693e-05	0.307530378286797	TBX15	chr1	119532116	119532117	cg10703826	TBX15	Island	I	TBX15
cg26708319	chr4	111551890	111552191	0.00200594825047614	-7.21717616733661e-06	0.000158936447684578	0.214018614111705	PITX2	chr4	111552040	111552041	cg26708319	PITX2	N_Shore	I	PITX2
cg03184290	chr4	111550516	111550817	0.00202251887628993	-7.71942414297314e-06	0.000151940548981745	0.13338423519846	PITX2	chr4	111550666	111550667	cg03184290	PITX2	S_Shore	I	PITX2
cg07892597	chr1	119531943	119532244	0.0010378311965812	-7.18425800232143e-06	7.32392559539379e-05	0.129129445810109	TBX15	chr1	119532093	119532094	cg07892597	TBX15	Island	II	TBX15
cg15513743	chr1	119528538	119528839	0.000183494363929147	7.77369204390339e-06	1.96856202779042e-05	0.124826781767251	TBX15	chr1	119528688	119528689	cg15513743	TBX15	N_Shore	I	TBX15
cg23371746	chr1	119532775	119533076	0.000419926481134055	2.03136574245498e-05	5.46238827305736e-05	0.121969850431102	TBX15	chr1	119532925	119532926	cg23371746	TBX15	S_Shore	I	TBX15
cg00366850	chr2	45232267	45232568	0.000779041606541607	1.40520003167966e-06	6.18850395380235e-05	0.119583791423511	SIX2	chr2	45232417	45232418	cg00366850	SIX2	Island	II	SIX2
cg09806671	chr1	165324529	165324830	0.000550803488720297	6.42390985537723e-06	4.67259388140599e-05	0.111618143545074	LMX1A	chr1	165324679	165324680	cg09806671	LMX1A	Island	I	LMX1A
cg21170796	chr1	119528014	119528315	0.00060427600430715	8.26423630437327e-06	5.56216339521919e-05	0.103271947951977	TBX15	chr1	119528164	119528165	cg21170796	TBX15	N_Shore	II	TBX15
cg00466334	chr1	119532700	119533001	0.000434645396946156	-2.4777386209644e-06	3.33503169303877e-05	0.0981715096229286	TBX15	chr1	119532850	119532851	cg00466334	TBX15	S_Shore	II	TBX15
cg13655674	chr1	119522236	119522537	0.000491791370187922	3.39971424894949e-05	6.99806019946114e-05	0.0973987164681596	TBX15	chr1	119522386	119522387	cg13655674	TBX15	Island	II	TBX15
cg26831119	chr4	111550680	111550981	0.000331889949131328	-5.25540442006455e-06	2.2980847508987e-05	0.0957988901539463	PITX2	chr4	111550830	111550831	cg26831119	PITX2	S_Shore	I	PITX2
cg20847580	chr6	41528600	41528901	0.000655845015199854	-2.78086727764269e-06	4.80892110023592e-05	0.0768807038669482	FOXP4	chr6	41528750	41528751	cg20847580	FOXP4	Island	I	FOXP4
cg02829688	chr1	119526858	119527159	0.000355843214756258	1.04206596293473e-05	3.65399458530894e-05	0.0647338746404511	TBX15	chr1	119527008	119527009	cg02829688	TBX15	Island	II	TBX15
